date,gas_price
20141022,22.8326087
20141023,22.8326087
20141024,22.8326087
20141025,22.8326087
20141026,22.8326087
20141027,22.8326087
20141028,22.8326087
20141029,22.8326087
20141030,22.8326087
20141031,22.8326087
20141101,22.765
20141102,22.765
20141103,22.765
20141104,22.765
20141105,22.765
20141106,22.765
20141107,22.765
20141108,22.765
20141109,22.765
20141110,22.765
20141111,22.765
20141112,22.765
20141113,22.765
20141114,22.765
20141115,22.765
20141116,22.765
20141117,22.765
20141118,22.765
20141119,22.765
20141120,22.765
20141121,22.765
20141122,22.765
20141123,22.765
20141124,22.765
20141125,22.765
20141126,22.765
20141127,22.765
20141128,22.765
20141129,22.765
20141130,22.765
20141201,23.05
20141202,23.05
20141203,23.05
20141204,23.05
20141205,23.05
20141206,23.05
20141207,23.05
20141208,23.05
20141209,23.05
20141210,23.05
20141211,23.05
20141212,23.05
20141213,23.05
20141214,23.05
20141215,23.05
20141216,23.05
20141217,23.05
20141218,23.05
20141219,23.05
20141220,23.05
20141221,23.05
20141222,23.05
20141223,23.05
20141224,23.05
20141225,23.05
20141226,23.05
20141227,23.05
20141228,23.05
20141229,23.05
20141230,23.05
20141231,23.05
20150101,19.89047619
20150102,19.89047619
20150103,19.89047619
20150104,19.89047619
20150105,19.89047619
20150106,19.89047619
20150107,19.89047619
20150108,19.89047619
20150109,19.89047619
20150110,19.89047619
20150111,19.89047619
20150112,19.89047619
20150113,19.89047619
20150114,19.89047619
20150115,19.89047619
20150116,19.89047619
20150117,19.89047619
20150118,19.89047619
20150119,19.89047619
20150120,19.89047619
20150121,19.89047619
20150122,19.89047619
20150123,19.89047619
20150124,19.89047619
20150125,19.89047619
20150126,19.89047619
20150127,19.89047619
20150128,19.89047619
20150129,19.89047619
20150130,19.89047619
20150131,19.89047619
20150201,22.0425
20150202,22.0425
20150203,22.0425
20150204,22.0425
20150205,22.0425
20150206,22.0425
20150207,22.0425
20150208,22.0425
20150209,22.0425
20150210,22.0425
20150211,22.0425
20150212,22.0425
20150213,22.0425
20150214,22.0425
20150215,22.0425
20150216,22.0425
20150217,22.0425
20150218,22.0425
20150219,22.0425
20150220,22.0425
20150221,22.0425
20150222,22.0425
20150223,22.0425
20150224,22.0425
20150225,22.0425
20150226,22.0425
20150227,22.0425
20150228,22.0425
20150301,21.60227273
20150302,21.60227273
20150303,21.60227273
20150304,21.60227273
20150305,21.60227273
20150306,21.60227273
20150307,21.60227273
20150308,21.60227273
20150309,21.60227273
20150310,21.60227273
20150311,21.60227273
20150312,21.60227273
20150313,21.60227273
20150314,21.60227273
20150315,21.60227273
20150316,21.60227273
20150317,21.60227273
20150318,21.60227273
20150319,21.60227273
20150320,21.60227273
20150321,21.60227273
20150322,21.60227273
20150323,21.60227273
20150324,21.60227273
20150325,21.60227273
20150326,21.60227273
20150327,21.60227273
20150328,21.60227273
20150329,21.60227273
20150330,21.60227273
20150331,21.60227273
20150401,21.4325
20150402,21.4325
20150403,21.4325
20150404,21.4325
20150405,21.4325
20150406,21.4325
20150407,21.4325
20150408,21.4325
20150409,21.4325
20150410,21.4325
20150411,21.4325
20150412,21.4325
20150413,21.4325
20150414,21.4325
20150415,21.4325
20150416,21.4325
20150417,21.4325
20150418,21.4325
20150419,21.4325
20150420,21.4325
20150421,21.4325
20150422,21.4325
20150423,21.4325
20150424,21.4325
20150425,21.4325
20150426,21.4325
20150427,21.4325
20150428,21.4325
20150429,21.4325
20150430,21.4325
20150501,20.44736842
20150502,20.44736842
20150503,20.44736842
20150504,20.44736842
20150505,20.44736842
20150506,20.44736842
20150507,20.44736842
20150508,20.44736842
20150509,20.44736842
20150510,20.44736842
20150511,20.44736842
20150512,20.44736842
20150513,20.44736842
20150514,20.44736842
20150515,20.44736842
20150516,20.44736842
20150517,20.44736842
20150518,20.44736842
20150519,20.44736842
20150520,20.44736842
20150521,20.44736842
20150522,20.44736842
20150523,20.44736842
20150524,20.44736842
20150525,20.44736842
20150526,20.44736842
20150527,20.44736842
20150528,20.44736842
20150529,20.44736842
20150530,20.44736842
20150531,20.44736842
20150601,20.27272727
20150602,20.27272727
20150603,20.27272727
20150604,20.27272727
20150605,20.27272727
20150606,20.27272727
20150607,20.27272727
20150608,20.27272727
20150609,20.27272727
20150610,20.27272727
20150611,20.27272727
20150612,20.27272727
20150613,20.27272727
20150614,20.27272727
20150615,20.27272727
20150616,20.27272727
20150617,20.27272727
20150618,20.27272727
20150619,20.27272727
20150620,20.27272727
20150621,20.27272727
20150622,20.27272727
20150623,20.27272727
20150624,20.27272727
20150625,20.27272727
20150626,20.27272727
20150627,20.27272727
20150628,20.27272727
20150629,20.27272727
20150630,20.27272727
20150701,20.74891304
20150702,20.74891304
20150703,20.74891304
20150704,20.74891304
20150705,20.74891304
20150706,20.74891304
20150707,20.74891304
20150708,20.74891304
20150709,20.74891304
20150710,20.74891304
20150711,20.74891304
20150712,20.74891304
20150713,20.74891304
20150714,20.74891304
20150715,20.74891304
20150716,20.74891304
20150717,20.74891304
20150718,20.74891304
20150719,20.74891304
20150720,20.74891304
20150721,20.74891304
20150722,20.74891304
20150723,20.74891304
20150724,20.74891304
20150725,20.74891304
20150726,20.74891304
20150727,20.74891304
20150728,20.74891304
20150729,20.74891304
20150730,20.74891304
20150731,20.74891304
20150801,19.49875
20150802,19.49875
20150803,19.49875
20150804,19.49875
20150805,19.49875
20150806,19.49875
20150807,19.49875
20150808,19.49875
20150809,19.49875
20150810,19.49875
20150811,19.49875
20150812,19.49875
20150813,19.49875
20150814,19.49875
20150815,19.49875
20150816,19.49875
20150817,19.49875
20150818,19.49875
20150819,19.49875
20150820,19.49875
20150821,19.49875
20150822,19.49875
20150823,19.49875
20150824,19.49875
20150825,19.49875
20150826,19.49875
20150827,19.49875
20150828,19.49875
20150829,19.49875
20150830,19.49875
20150831,19.49875
20150901,19.07840909
20150902,19.07840909
20150903,19.07840909
20150904,19.07840909
20150905,19.07840909
20150906,19.07840909
20150907,19.07840909
20150908,19.07840909
20150909,19.07840909
20150910,19.07840909
20150911,19.07840909
20150912,19.07840909
20150913,19.07840909
