,start_date,MAE,RMSE,MAE_24,RMSE_24
0,2019-01-01,129.88116491691596,164.57885861994143,192.21101543298784,243.026818014516
1,2019-02-01,114.11541720876441,146.2580834677508,174.16401663177103,229.64146192735987
2,2019-03-01,132.22302492767466,170.07885787979203,196.33472690456242,261.30687101467964
3,2019-04-01,140.78068592055405,176.23572376314948,196.5021260012494,257.2567392546158
4,2019-05-01,125.78172251090058,158.39868031964528,198.78560496615555,261.0206311851048
5,2019-06-01,110.88719570984995,147.1853475886302,160.73865475703425,210.21437107464772
6,2019-07-01,118.95770636126215,147.8408217433609,148.54642858747803,200.67365750958174
7,2019-08-01,129.90794097611916,164.22411128134087,170.65096062127964,220.7718618887388
8,2019-09-01,145.9838346925261,187.77444805028034,220.5680043149401,291.0926849112449
9,2019-10-01,137.84487956076052,173.1360315638606,154.6057091483683,208.2503358876351
10,2019-11-01,151.9800323914266,197.21547500350985,185.312934914362,246.25141858287924
11,2019-12-01,147.2594823375964,189.11559139860063,176.82372360727084,232.90481392183023
12,2020-01-01,133.92464317903924,174.27829271726108,182.89741430238763,241.3876072876017
13,2020-02-01,148.9053047431694,189.14213280177682,226.23939318187314,292.1080263167583
14,2020-03-01,147.61126453485582,188.71754564341228,163.985794756193,214.80984643748195
15,2020-04-01,151.66815964395371,196.33997179788102,208.8202318736666,274.5634354812502
16,2020-05-01,129.6437269509205,166.0634480595816,171.00812043783392,231.89932753178834
17,2020-06-01,150.81153990405537,185.15098652887553,166.91528581843875,218.14229203350172
18,2020-07-01,144.59112671406123,180.98573238411123,168.56967964892945,221.46234817838408
19,2020-08-01,112.25428674465644,144.76502703530295,173.7134086065454,238.7553804839013
20,2020-09-01,150.15512487424164,186.6618847474883,176.78766202417071,230.4720055707555
21,2020-10-01,124.29287923793576,162.84095891364618,172.35476619565824,228.51781052072636
22,2020-11-01,125.92648520208644,157.3570322679106,171.6170800269924,227.44570287658456
23,2020-12-01,138.07979193628745,179.5404982814333,170.2847991159004,226.30627557865466
24,2021-01-01,163.45839367971976,209.9215220074558,140.31033293281064,187.9764411240037
25,2021-02-01,121.52420690898931,156.6506426489176,133.58726806705616,174.09101898458115
26,2021-03-01,120.83637746474163,154.426440468633,163.8163180822247,217.36469986633142
27,2021-04-01,129.86397343989074,165.41847367050312,164.14012577956467,213.0084845822896
28,2021-05-01,172.43063568042896,215.18193604779188,196.264639127863,258.18358880319624
29,2021-06-01,123.59005745202772,163.21375191410667,162.66532880559924,225.45142805227042
30,2021-07-01,118.25739318048475,152.21531227732686,151.04157831020387,198.20927764731306
31,2021-08-01,134.3170590186948,167.83978752842543,139.26647820072267,186.46753156785817
32,2021-09-01,114.16971467003481,143.11632340435537,131.93905846052536,172.979571588148
33,2021-10-01,135.95288065287406,172.01097495807886,145.53096947636973,189.1241326229626
34,2021-11-01,136.25466068878123,173.29250252141665,159.14806910000726,214.92920341642304
35,2021-12-01,141.69211083075632,193.8216782784639,173.13827238229095,242.49660849436202
