,start_date,MAE,RMSE,MAE_24,RMSE_24
0,2019-01-01,122.90283189732665,154.81900548093182,192.21101543298784,243.026818014516
1,2019-02-01,115.24745804476842,147.72467898575363,174.16401663177103,229.64146192735987
2,2019-03-01,136.05875486507423,173.53864973641566,196.33472690456242,261.30687101467964
3,2019-04-01,140.33646260360453,176.58747666685306,196.5021260012494,257.2567392546158
4,2019-05-01,128.59392629159197,162.34982572328354,198.78560496615555,261.0206311851048
5,2019-06-01,108.74300839808005,142.09718212529046,160.73865475703425,210.21437107464772
6,2019-07-01,118.51595608734596,146.72826874771093,148.54642858747803,200.67365750958174
7,2019-08-01,129.0997145154717,161.2532943398583,170.65096062127964,220.7718618887388
8,2019-09-01,137.8014892909957,178.84685505747044,220.5680043149401,291.0926849112449
9,2019-10-01,133.21522363876656,167.98599430577306,154.6057091483683,208.2503358876351
10,2019-11-01,141.42928911747504,183.22802169879893,185.312934914362,246.25141858287924
11,2019-12-01,143.72494212963215,185.08009767225562,176.82372360727084,232.90481392183023
12,2020-01-01,136.0931255443015,175.8772101315641,182.89741430238763,241.3876072876017
13,2020-02-01,153.06912231364424,193.14020774801747,226.23939318187314,292.1080263167583
14,2020-03-01,144.14729136229946,184.40746226435195,163.985794756193,214.80984643748195
15,2020-04-01,152.39566576333547,197.62195382092096,208.8202318736666,274.5634354812502
16,2020-05-01,132.64536455465284,168.8349697910539,171.00812043783392,231.89932753178834
17,2020-06-01,151.0112646123395,186.32943917382244,166.91528581843875,218.14229203350172
18,2020-07-01,142.40172194656733,180.98422180607216,168.56967964892945,221.46234817838408
19,2020-08-01,113.53810198035657,145.78091750115533,173.7134086065454,238.7553804839013
20,2020-09-01,150.13759613520742,187.21637671342322,176.78766202417071,230.4720055707555
21,2020-10-01,126.60859558624931,165.35178700131655,172.35476619565824,228.51781052072636
22,2020-11-01,126.14225066432581,159.30993111639916,171.6170800269924,227.44570287658456
23,2020-12-01,137.51417389306377,178.051602291451,170.2847991159004,226.30627557865466
24,2021-01-01,162.98753477723602,208.01883192559947,140.31033293281064,187.9764411240037
25,2021-02-01,126.70702439730712,162.24685877190757,133.58726806705616,174.09101898458115
26,2021-03-01,117.67198116978267,152.27893131290764,163.8163180822247,217.36469986633142
27,2021-04-01,134.5661713168413,171.93489389162642,164.14012577956467,213.0084845822896
28,2021-05-01,164.57347885131819,206.5890342484693,196.264639127863,258.18358880319624
29,2021-06-01,123.01010184148907,161.84301215611094,162.66532880559924,225.45142805227042
30,2021-07-01,114.72560690801302,147.60084072284377,151.04157831020387,198.20927764731306
31,2021-08-01,128.75290392618498,162.35793902295862,139.26647820072267,186.46753156785817
32,2021-09-01,109.85066880683054,140.3016073764604,131.93905846052536,172.979571588148
33,2021-10-01,126.42551009314764,160.60126029218208,145.53096947636973,189.1241326229626
34,2021-11-01,131.46931555217435,171.44981076737974,159.14806910000726,214.92920341642304
35,2021-12-01,141.58217211274595,190.1124066825752,173.13827238229095,242.49660849436202
