,start_date,MAE,RMSE,MAE_24,RMSE_24
0,2019-01-01,126.05514799719866,158.69390114106685,192.21101543298784,243.026818014516
1,2019-02-01,116.09962729558683,148.37857469747956,174.1640166317711,229.64146192735987
2,2019-03-01,137.48941602323274,175.06751721442635,196.3347269045624,261.30687101467964
3,2019-04-01,139.6402395482139,175.92632660057288,196.50212600124934,257.2567392546158
4,2019-05-01,129.11291821586883,163.52344598144202,198.78560496615563,261.0206311851048
5,2019-06-01,109.45676054457675,143.3604218540056,160.73865475703425,210.21437107464772
6,2019-07-01,119.22606024636225,147.8970283047976,148.5464285874781,200.67365750958174
7,2019-08-01,128.29395672792094,161.15657202452653,170.65096062127967,220.7718618887388
8,2019-09-01,139.3098601409117,181.91611427717373,220.56800431494008,291.0926849112449
9,2019-10-01,130.53631940370383,165.1903687607112,154.60570914836825,208.2503358876351
10,2019-11-01,144.04433536228552,187.12323850321698,185.31293491436202,246.25141858287924
11,2019-12-01,142.9005053266016,183.82660084774392,176.82372360727086,232.90481392183023
12,2020-01-01,137.4659842514991,177.84096928803027,182.89741430238752,241.3876072876017
13,2020-02-01,152.22200599754785,191.60127852929676,226.23939318187317,292.1080263167583
14,2020-03-01,142.8165599582427,182.26752111141207,163.985794756193,214.80984643748195
15,2020-04-01,154.37466750664183,200.20026187214194,208.82023187366664,274.5634354812502
16,2020-05-01,133.8000897648772,170.44322978830706,171.0081204378339,231.89932753178834
17,2020-06-01,145.90580111606585,180.2143990638724,166.91528581843878,218.14229203350172
18,2020-07-01,139.8000117357127,177.449928659311,168.56967964892945,221.46234817838408
19,2020-08-01,113.99007811992999,146.54041612776174,173.7134086065454,238.7553804839013
20,2020-09-01,151.06638587329837,189.32700381083197,176.7876620241707,230.4720055707555
21,2020-10-01,127.74319435124248,166.6283626881696,172.35476619565827,228.51781052072636
22,2020-11-01,128.2474311334693,162.34535098759935,171.61708002699237,227.44570287658456
23,2020-12-01,139.5826858791154,180.93112882702258,170.28479911590034,226.30627557865466
24,2021-01-01,162.25759113400588,207.13721192556184,140.31033293281064,187.9764411240037
25,2021-02-01,126.09809070731283,162.09593345804956,133.5872680670562,174.09101898458115
26,2021-03-01,119.529690780483,153.90339207948801,163.81631808222477,217.36469986633142
27,2021-04-01,134.4046534169086,172.17585149571386,164.1401257795647,213.0084845822896
28,2021-05-01,166.31160294083085,208.64040644061902,196.26463912786298,258.18358880319624
29,2021-06-01,124.71768379901422,164.14154342725953,162.66532880559924,225.45142805227042
30,2021-07-01,119.20782642292835,153.62306425313702,151.04157831020387,198.20927764731306
31,2021-08-01,133.06597867539492,167.49929884937364,139.26647820072267,186.46753156785817
32,2021-09-01,110.28667464081411,139.3998705255432,131.93905846052533,172.979571588148
33,2021-10-01,127.87998920994477,162.4784769003533,145.5309694763697,189.1241326229626
34,2021-11-01,134.89185393830144,174.7296360332431,159.14806910000732,214.92920341642304
35,2021-12-01,143.34447772007945,191.80737879052177,173.1382723822909,242.49660849436202
