id;name;geoid;geoname;value;datetime
602;Energía asignada en Mercado SPOT Diario España;;;19596;2018-01-01T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18027.1;2018-01-01T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17202.5;2018-01-01T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;16788.2;2018-01-01T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;16438.7;2018-01-01T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;15806;2018-01-01T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;15569.4;2018-01-01T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;15853;2018-01-01T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;16461.2;2018-01-01T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17006.2;2018-01-01T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17977.5;2018-01-01T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19402.1;2018-01-01T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20173.1;2018-01-01T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20795.4;2018-01-01T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21289;2018-01-01T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21135.4;2018-01-01T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20809.5;2018-01-01T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21010.4;2018-01-01T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21308.5;2018-01-01T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21844.5;2018-01-01T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21778.4;2018-01-01T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22381;2018-01-01T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22084.7;2018-01-01T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20272.5;2018-01-01T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20165.7;2018-01-02T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18875.2;2018-01-02T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18323.1;2018-01-02T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;16955.7;2018-01-02T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;16900.7;2018-01-02T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17928.5;2018-01-02T05:00:00+01:00
