id;name;geoid;geoname;value;datetime
602;Energía asignada en Mercado SPOT Diario España;;;22619.6;2016-01-03T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21717.2;2016-01-03T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20964.2;2016-01-03T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20134;2016-01-04T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19256.5;2016-01-04T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18549.5;2016-01-04T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17767.7;2016-01-04T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17092;2016-01-04T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17836.9;2016-01-04T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18407.5;2016-01-04T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18456.2;2016-01-04T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20722.8;2016-01-04T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21242.3;2016-01-04T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22266.2;2016-01-04T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22080;2016-01-04T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22027.3;2016-01-04T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22767.9;2016-01-04T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22038.3;2016-01-04T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21367.2;2016-01-04T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20938.7;2016-01-04T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20586.2;2016-01-04T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21828.4;2016-01-04T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22996.7;2016-01-04T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23678.7;2016-01-04T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23915.3;2016-01-04T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22511.2;2016-01-04T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20598.4;2016-01-04T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20789.3;2016-01-05T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20116.9;2016-01-05T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19430.4;2016-01-05T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18998.3;2016-01-05T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18892.9;2016-01-05T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18921.9;2016-01-05T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19431.5;2016-01-05T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20838.6;2016-01-05T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23172.8;2016-01-05T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22653.5;2016-01-05T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22712.4;2016-01-05T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23615.7;2016-01-05T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24214.8;2016-01-05T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23704.3;2016-01-05T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23707.7;2016-01-05T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22916.8;2016-01-05T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22422.1;2016-01-05T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22336.3;2016-01-05T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23130.2;2016-01-05T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22953.3;2016-01-05T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22513.9;2016-01-05T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22821.8;2016-01-05T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21621.9;2016-01-05T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21085.8;2016-01-05T23:00:00+01:00
